Neighbourhood_ID,Neighbourhood,PopulationCount,PopulationDensity_Per_SqKM,PopulationCount_0_14,PopulationCount_15_24,PopulationCount_25_54,PopulationCount_55_64,PopulationCount_65+,Percentage of residents do not speak English or French,Percentage of residents whose mother tongue is not English or French,Percentage of residents who do not speak offical languages at home,Percentage of residents with totoal income of $150K and over,Percentage of Household Income of Over $200K,Percentage of Non Canadian Citizen,Percentage of visible minority,Percentage with no certificate/diploma/degree,Percentage with  Bachelor degree or above,UnemploymentRate,Percentage of Movers (mobility status 1 year ago),Percentage of Movers (mobility status 5 year ago),Latitude,Longitude,No. of Robberies in 2014,No. of Robberies in 2015,No. of Robberies in 2016,No. of Robberies in 2017,No. of Robberies in 2018,No. of Robberies (2014-2018)
36,Newtonbrook West,23831,5070,2810,3325,10410,3110,4165,0.06,0.67,0.52,0.02,0.05,0.27,0.59,0.12,0.38,0.08,0.17,0.47,43.79,-79.43,23,4,16,37,21,101
37,Willowdale West,16936,5820,1785,2230,7480,2070,3370,0.06,0.62,0.43,0.04,0.09,0.24,0.58,0.10,0.51,0.10,0.21,0.51,43.77,-79.43,10,0,5,11,22,48
38,Lansing-Westgate,16164,3038,2420,2105,7590,1910,2160,0.02,0.45,0.27,0.08,0.17,0.19,0.43,0.08,0.54,0.07,0.18,0.48,43.75,-79.42,10,5,4,14,20,53
39,Bedford Park-Nortown,23236,4209,4555,3210,8410,3075,3980,0.01,0.24,0.10,0.18,0.34,0.10,0.21,0.11,0.52,0.06,0.11,0.35,43.74,-79.42,16,8,20,18,13,75
40,St.Andrew-Windfields,17812,2430,2645,2540,6800,2625,3235,0.04,0.48,0.30,0.13,0.27,0.15,0.51,0.10,0.52,0.08,0.13,0.38,43.76,-79.38,10,7,24,2,6,49
41,Bridle Path-Sunnybrook-York Mills,9266,1040,1435,1425,3090,1525,1785,0.02,0.31,0.16,0.28,0.53,0.09,0.30,0.08,0.62,0.08,0.12,0.35,43.73,-79.37,1,2,2,1,0,6
42,Banbury-Don Mills,27695,2775,3605,2730,10810,3555,6975,0.03,0.44,0.25,0.07,0.14,0.11,0.47,0.10,0.46,0.07,0.11,0.37,43.74,-79.35,12,27,14,10,7,70
43,Victoria Village,17510,3710,2630,2030,7170,2270,3405,0.04,0.46,0.30,0.01,0.03,0.15,0.59,0.20,0.26,0.10,0.14,0.39,43.73,-79.32,5,8,11,11,9,44
44,Flemingdon Park,21933,9026,4385,3060,9185,2335,2980,0.07,0.64,0.50,0.00,0.01,0.22,0.79,0.22,0.28,0.11,0.14,0.40,43.72,-79.33,26,22,24,20,16,108
45,Parkwoods-Donalda,34805,4691,5840,4680,14780,4265,5250,0.03,0.44,0.28,0.03,0.07,0.14,0.55,0.14,0.33,0.09,0.13,0.40,43.75,-79.34,11,19,32,38,21,121
46,Pleasant View,15818,5273,2050,2080,6470,2020,3195,0.08,0.65,0.49,0.01,0.05,0.21,0.64,0.17,0.34,0.10,0.13,0.35,43.78,-79.34,5,12,12,6,6,41
47,Don Valley Village,27051,6441,4065,3280,11860,3145,4700,0.06,0.64,0.49,0.02,0.05,0.24,0.71,0.11,0.43,0.10,0.16,0.44,43.78,-79.35,42,32,22,18,35,149
48,Hillcrest Village,16934,3148,2115,2170,6060,2265,4305,0.09,0.67,0.52,0.02,0.08,0.17,0.76,0.13,0.44,0.08,0.10,0.32,43.80,-79.36,20,7,11,24,19,81
49,Bayview Woods-Steeles,13154,3240,1515,1635,4490,1825,3685,0.06,0.60,0.43,0.04,0.12,0.17,0.65,0.12,0.46,0.08,0.12,0.37,43.80,-79.38,6,1,0,6,6,19
50,Newtonbrook East,16097,3926,1585,2185,6860,2155,3320,0.07,0.70,0.54,0.03,0.09,0.25,0.72,0.11,0.48,0.09,0.19,0.45,43.79,-79.41,15,15,20,34,19,103
